Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"آساجی چارن","او مادے دیوی",29,"19 20 21 22 23 24 25 26 27 28 29 38 39 40 41 42 43","24:14 24:15 24:16 24:18 24:20 24:21 24:22 24:23 24:24 25:24 25:25 26:25 26:26 27:26 27:27 28:27 28:28 29:28 29:29 43:33 43:34 43:35 43:36 43:37 43:38 43:39 43:41 43:42 43:43"
"آساجی چارن","ایشور داس چارن",20,"22 23 24 25 26 27 28 29 38 39 40 41","24:20 24:21 24:22 24:23 24:24 25:24 25:25 26:25 26:27 27:27 28:27 28:28 29:28 29:29 43:33 43:34 43:35 43:36 43:38 43:39"
"آساجی چارن","بھاریلی دیوی",12,"19 22 30 31 32 39 40 43","24:14 24:15 24:21 25:35 26:35 27:35 28:35 29:35 43:35 43:37 43:38 43:43"
"آساجی چارن","بھاگا سنتری",4,"33 40 43","28:38 29:38 43:38 43:43"
"آساجی چارن","بیرم جی میڑتے",9,"25 26 27 28 29 41 45","24:27 25:27 26:27 27:27 28:27 28:29 29:29 43:40 43:48"
"آساجی چارن","جیت مالوت",2,"42","43:41 43:42"
"آساجی چارن","خواص خان",1,"46","43:49"
"آساجی چارن","دیوان اعظم",1,"22","24:21"
"آساجی چارن","راؤ مالدیوجی",28,"19 20 21 22 23 24 26 27 28 29 38 39 40 41 42 43","24:14 24:15 24:16 24:17 24:18 24:19 24:20 24:21 24:22 24:23 24:24 25:24 25:27 26:27 27:27 28:27 28:28 29:28 29:29 43:34 43:35 43:36 43:37 43:38 43:39 43:40 43:42 43:43"
"آساجی چارن","رانی سروپ دئی",3,"23 42 47","24:22 43:42 43:52"
"آساجی چارن","رانی لاچھو دئی",1,"48","43:53"
"آساجی چارن","راول جیسا میر",13,"19 20 23 27 28 29 30 38 44","24:14 24:15 24:16 24:17 24:23 24:31 25:31 26:31 27:31 28:31 29:31 43:33 43:45"
"آساجی چارن","راگھو جی جوتشی",2,"19 20","24:14 24:17"
"آساجی چارن","شیر شاہ سوری",12,"22 23 26 27 28 29 41 46","24:21 24:22 24:23 24:28 25:28 26:28 27:28 28:28 29:28 29:29 43:40 43:49"
"آساجی چارن","مار رام",11,"19 22 28 29 30 42 47","24:14 24:21 24:32 25:32 26:32 27:32 28:32 29:32 43:41 43:42 43:52"
"آساجی چارن","مل او دے سنگھ",2,"42 43","43:42 43:43"
"آساجی چارن","چند رسین",6,"25 26 27 43","24:27 25:27 26:27 27:27 28:27 43:43"
"آساجی چارن","چندر رجوتی",1,"21","24:19"
"آساجی چارن","چندو جی",1,"20","24:17"
"آساجی چارن","ہمایوں بادشاہ",10,"22 23 26 27 28 29","24:21 24:22 24:23 24:28 25:28 26:28 27:28 28:28 29:28 29:29"
"او مادے دیوی","اکبر رام",13,"4 5 6 7 10 11 12","1:7 2:7 3:7 4:7 5:7 6:7 7:7 8:7 8:12 9:12 10:12 12:12 13:12"
"او مادے دیوی","ایشور داس چارن",41,"15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40","10:20 12:20 13:20 14:20 15:20 16:20 18:20 20:20 21:20 21:21 22:21 22:22 23:22 23:23 24:23 24:24 25:24 25:25 26:25 26:27 27:27 28:27 28:28 29:28 29:29 31:29 31:31 33:31 33:33 34:33 34:34 35:34 35:35 36:35 36:36 37:36 37:38 38:38 39:38 39:39 41:39"
