Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"اجمل","افسری فاطمہ",17,"85 89 91 92 93 95 96 97 98 99 103 104 105","90:81 90:88 90:89 90:92 92:92 94:92 94:97 95:97 96:97 97:97 100:97 100:98 100:99 100:106 101:106 102:106 105:106"
"اجمل","بلو",9,"93 94 95 96 97 98 99","90:97 92:97 94:97 95:97 96:97 97:97 100:97 100:98 100:99"
"اجمل","بوجی",9,"85 93 94 95 96 97 98 99","90:81 90:97 92:97 94:97 95:97 96:97 97:97 100:97 100:99"
"اجمل","حق صاحب",14,"87 89 90 91 93 94 95 96 97 98 99","90:84 90:89 90:90 92:90 92:94 94:94 95:94 95:96 96:96 97:96 97:97 100:97 100:98 100:99"
"اجمل","حمید ڈاکیہ",7,"93 94 95 96 97 98","90:97 92:97 94:97 95:97 96:97 97:97 100:97"
"اجمل","دلی کباب والا",1,"85","90:80"
"اجمل","رشید",7,"94 95 96 97 99","90:98 92:98 94:98 95:98 96:98 97:98 100:98"
"اجمل","رفیا",15,"86 87 93 94 95 96 97 98 101 102 104","90:82 90:83 90:84 90:85 90:97 92:97 94:97 95:97 96:97 97:97 100:97 100:103 101:103 102:103 105:103"
"اجمل","سبطین",28,"86 87 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105","90:82 90:83 90:84 90:85 90:89 90:90 92:90 92:92 94:92 94:93 94:94 95:94 95:95 96:95 96:96 97:96 97:97 100:97 100:98 100:99 100:100 101:100 101:101 102:101 102:102 105:102 105:103 105:105"
"اجمل","شیرو",9,"86 99 100 102 103 104","90:82 94:104 95:104 96:104 97:104 100:104 101:104 102:104 105:104"
"اجمل","علن",17,"85 86 87 90 91 94 95 96 97 98 101 102 104","90:81 90:82 90:83 90:84 90:85 90:91 92:91 92:97 94:97 95:97 96:97 97:97 100:97 100:103 101:103 102:103 105:103"
"اجمل","فیاض خان",26,"85 88 89 90 91 92 93 94 95 96 97 98 100 101 102 103 104 106","90:80 90:81 90:86 90:87 90:88 90:89 90:90 92:90 92:91 92:93 94:93 94:94 95:94 95:96 96:96 97:96 97:97 100:97 100:100 101:100 101:101 102:101 102:102 105:102 105:103 105:107"
