Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"ابدو (چک لہندا کا سردار)","ادو",1,"62","65:60"
"ابدو (چک لہندا کا سردار)","بلونگڑا",1,"62","65:59"
"ابدو (چک لہندا کا سردار)","بمبو",3,"60 61 62","65:56 65:58 65:59"
"ابدو (چک لہندا کا سردار)","بنی",4,"61 69 70","65:58 65:73 66:73 68:73"
"ابدو (چک لہندا کا سردار)","بچھیری (گھوڑی)",8,"60 61 62 67 68 69","65:55 65:56 65:57 65:58 65:59 65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","بیبو",6,"64 65 66 67","65:63 65:65 66:65 66:66 68:66 68:67"
"ابدو (چک لہندا کا سردار)","تائی",5,"63 69 70 71","65:61 65:62 65:74 66:74 68:74"
"ابدو (چک لہندا کا سردار)","جاگیردار",4,"60 61 62","65:55 65:57 65:58 65:60"
"ابدو (چک لہندا کا سردار)","حضرت صاحب",2,"60 61","65:56 65:57"
"ابدو (چک لہندا کا سردار)","حیدری",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","دارو",3,"65 66 67","65:66 66:66 68:66"
"ابدو (چک لہندا کا سردار)","دارے لوہار",7,"64 65 66 67 68","65:63 65:65 66:65 66:66 68:66 68:67 68:68"
"ابدو (چک لہندا کا سردار)","دھاموں",5,"65 66 67 68","65:66 66:66 68:66 68:67 68:68"
"ابدو (چک لہندا کا سردار)","راوی",15,"60 61 62 63 64 65 66 67 68","65:55 65:56 65:57 65:58 65:59 65:60 65:61 65:62 65:63 65:65 66:65 66:66 68:66 68:67 68:68"
"ابدو (چک لہندا کا سردار)","سردار",4,"65 68 69","65:65 66:65 66:71 68:71"
"ابدو (چک لہندا کا سردار)","سفید پوش",2,"60 61","65:56 65:57"
"ابدو (چک لہندا کا سردار)","سلامتے",3,"68 69 70","65:72 66:72 68:72"
"ابدو (چک لہندا کا سردار)","سلیمان (کسان)",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","سکندر",2,"71 72","66:76 68:76"
"ابدو (چک لہندا کا سردار)","شدین",4,"62 68 69","65:60 65:71 66:71 68:71"
"ابدو (چک لہندا کا سردار)","شوقاں (گھوڑی)",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","لالو",1,"72","68:77"
"ابدو (چک لہندا کا سردار)","ملا اسماعیل",3,"63 71 72","65:61 66:76 68:76"
"ابدو (چک لہندا کا سردار)","ملک (دارا کی کہانی)",8,"64 65 66 67 68","65:63 65:64 65:65 66:65 66:66 68:66 68:67 68:68"
"ابدو (چک لہندا کا سردار)","نوری کاٹو",3,"68 69 70","65:72 66:72 68:72"
"ابدو (چک لہندا کا سردار)","ٹو (نر گھوڑا)",1,"61","65:57"
"ابدو (چک لہندا کا سردار)","پھتی",2,"71 72","66:76 68:76"
"ابدو (چک لہندا کا سردار)","پھلا",3,"60 61 62","65:56 65:58 65:59"
"ابدو (چک لہندا کا سردار)","چدی",4,"62 68 69","65:60 65:71 66:71 68:71"
"ابدو (چک لہندا کا سردار)","چوہدری تغیرے",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","کئی رانی (گھوڑی)",3,"66 67","65:67 66:67 68:67"
"ابدو (چک لہندا کا سردار)","کالا بدل (ریچھ)",1,"61","65:58"
"ابدو (چک لہندا کا سردار)","کماں",2,"63 72","65:61 68:77"
"ابدو (چک لہندا کا سردار)","گازی",2,"60 61","65:56 65:58"
"ابدو (چک لہندا کا سردار)","گاگو",4,"60 61 62","65:56 65:57 65:58 65:59"
"ابدو (چک لہندا کا سردار)","گلو (مراثی کا منڈا)",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","گھینا",4,"62 68 69","65:60 65:71 66:71 68:71"
"ادو","باگو خوشیا",1,"55","60:51"
"ادو","بلونگڑا",1,"59","60:59"
"ادو","بمبو",3,"58 59","60:56 60:58 60:59"
"ادو","بنی",1,"59","60:58"
"ادو","بچھیری (گھوڑی)",7,"57 58 59 65","60:54 60:55 60:56 60:57 60:58 60:59 60:70"
"ادو","بیبو",1,"61","60:63"
"ادو","تائی",1,"60","60:61"
"ادو","جاگیردار",6,"56 57 58 59 60","60:52 60:54 60:55 60:57 60:58 60:60"
"ادو","حضرت صاحب",2,"58","60:56 60:57"
"ادو","حیدری",1,"65","60:70"
"ادو","دارو",1,"63","60:66"
"ادو","دارے لوہار",1,"61","60:63"
"ادو","دھاموں",1,"63","60:66"
"ادو","راوی",11,"55 56 57 58 59 60","60:50 60:51 60:52 60:53 60:54 60:55 60:56 60:57 60:58 60:59 60:60"
"ادو","سردار",1,"62","60:65"
"ادو","سفید پوش",3,"57 58","60:54 60:56 60:57"
"ادو","سلیمان (کسان)",1,"65","60:70"
"ادو","سکیراں",2,"55 56","60:51 60:53"
"ادو","شاداں",1,"56","60:52"
"ادو","شدین",3,"55 56 60","60:50 60:52 60:60"
"ادو","شوقاں (گھوڑی)",1,"65","60:70"
"ادو","ملا اسماعیل",1,"60","60:61"
"ادو","ملّا گھیچری",1,"55","60:51"
"ادو","ملک (دارا کی کہانی)",1,"61","60:63"
"ادو","مندی",2,"55 56","60:51 60:53"
"ادو","ٹو (نر گھوڑا)",1,"58","60:57"
"ادو","پھلا",4,"57 58 59","60:54 60:56 60:58 60:59"
"ادو","چاچا حنفیا",1,"56","60:53"
"ادو","چدی",1,"60","60:60"
"ادو","چوہدری تغیرے",1,"65","60:70"
"ادو","کئی رانی (گھوڑی)",1,"63","60:67"
"ادو","کالا بدل (ریچھ)",1,"59","60:58"
"ادو","کماں",1,"60","60:61"
"ادو","گازی",2,"58 59","60:56 60:58"
"ادو","گاگو",5,"57 58 59","60:54 60:56 60:57 60:58 60:59"
"ادو","گلو (مراثی کا منڈا)",1,"65","60:70"
"ادو","گومی",1,"56","60:52"
"ادو","گھینا",1,"60","60:60"
"باگو خوشیا","بلونگڑا",2,"46 55","51:41 51:59"
"باگو خوشیا","بمبو",2,"46 53","51:41 51:56"
"باگو خوشیا","بنی",3,"49 50 54","51:48 51:49 51:58"
"باگو خوشیا","بچھیری (گھوڑی)",3,"23 46 52","28:18 51:41 51:54"
"باگو خوشیا","تائی",1,"56","51:61"
"باگو خوشیا","جاگیردار",2,"50 51","51:49 51:52"
"باگو خوشیا","حضرت صاحب",5,"23 29 30 53","28:18 28:19 28:31 29:31 51:56"
"باگو خوشیا","دھاموں",3,"28 29","28:28 29:28 29:30"
"باگو خوشیا","راوی",24,"23 24 25 26 27 28 29 46 47 48 49 50 51","28:18 28:19 28:20 28:21 28:22 28:23 28:24 28:25 28:26 28:27 28:28 29:28 29:29 51:41 51:42 51:43 51:44 51:45 51:46 51:47 51:48 51:49 51:50 51:51"
"باگو خوشیا","رشیدہ",2,"25 34","28:22 29:39"
"باگو خوشیا","سردار",3,"26 27","28:24 28:26 28:27"
"باگو خوشیا","سفید پوش",1,"52","51:54"
"باگو خوشیا","سلامتے",3,"24 29 30","28:20 28:31 29:31"
"باگو خوشیا","سلیمان (کسان)",1,"25","28:22"
"باگو خوشیا","سکیراں",4,"28 29 51","28:28 29:28 29:29 51:51"
"باگو خوشیا","سید کرم شاہ",1,"23","28:18"
"باگو خوشیا","شاداں",1,"51","51:52"
"باگو خوشیا","شدین",3,"50 51","51:49 51:50 51:52"
"باگو خوشیا","صفیہ",2,"24 25","28:21 28:22"
"باگو خوشیا","ضابطے خاں",7,"46 47 48 49","51:42 51:43 51:44 51:45 51:46 51:47 51:48"
"باگو خوشیا","متاب ٹیڑی",6,"46 47 48 49","51:42 51:43 51:45 51:46 51:47 51:48"
"باگو خوشیا","متاب کی بیوی",2,"47 49","51:43 51:48"
"باگو خوشیا","ملا اسماعیل",4,"28 29 46 56","28:29 29:29 51:42 51:61"
"باگو خوشیا","ملّا گھیچری",3,"28 29 51","28:29 29:29 51:51"
"باگو خوشیا","ملک (دارا کی کہانی)",2,"47 48","51:44 51:45"
"باگو خوشیا","ملک سمندر خاں",1,"47","51:44"
"باگو خوشیا","مندی",3,"28 29 51","28:29 29:29 51:51"
"باگو خوشیا","منہا یبل",2,"28 29","28:29 29:29"
"باگو خوشیا","مولو تیلی",4,"26 27","28:24 28:25 28:26 28:27"
"باگو خوشیا","نبو میراثی",4,"26 27","28:24 28:25 28:26 28:27"
"باگو خوشیا","نوراں",1,"24","28:21"
"باگو خوشیا","ٹو (نر گھوڑا)",4,"23 29 54","28:19 28:30 29:30 51:57"
"باگو خوشیا","پھلا",2,"46 52","51:41 51:54"
"باگو خوشیا","چاچا حنفیا",4,"28 29 52","28:28 29:28 29:30 51:53"
"باگو خوشیا","چدی",1,"55","51:60"
"باگو خوشیا","چوہدری جلال",3,"24 29 30","28:20 28:31 29:31"
"باگو خوشیا","کالا بدل (ریچھ)",3,"23 34 54","28:19 29:39 51:58"
"باگو خوشیا","کرملی",1,"23","28:19"
"باگو خوشیا","کرنل صاحب",2,"23","28:18 28:19"
"باگو خوشیا","کماں",1,"56","51:61"
"باگو خوشیا","گازی",1,"53","51:56"
"باگو خوشیا","گاما",1,"24","28:20"
"باگو خوشیا","گاموں مراثی",3,"23 29 30","28:18 28:31 29:31"
"باگو خوشیا","گاگو",2,"46 52","51:41 51:54"
"باگو خوشیا","گلو (مراثی کا منڈا)",2,"31","28:34 29:34"
"باگو خوشیا","گومی",1,"51","51:52"
"باگو خوشیا","گھینا",1,"55","51:60"
"بلونگڑا","بمبو",4,"41 57 58 59","41:41 59:56 59:58 59:59"
"بلونگڑا","بنی",3,"44 54 58","41:48 59:49 59:58"
"بلونگڑا","بچھیری (گھوڑی)",7,"41 56 57 58 59","41:41 59:54 59:55 59:56 59:57 59:58 59:59"
"بلونگڑا","بیبو",1,"61","59:63"
"بلونگڑا","تائی",1,"60","59:61"
"بلونگڑا","جاگیردار",8,"45 54 55 56 57 58 59","41:49 59:49 59:52 59:54 59:55 59:57 59:58 59:60"
"بلونگڑا","حضرت صاحب",3,"36 57 58","41:31 59:56 59:57"
"بلونگڑا","دارو",1,"62","59:66"
"بلونگڑا","دارے لوہار",1,"61","59:63"
"بلونگڑا","دھاموں",2,"36 62","41:32 59:66"
"بلونگڑا","راوی",22,"36 37 38 39 40 41 54 55 56 57 58 59","41:31 41:32 41:33 41:34 41:35 41:36 41:37 41:38 41:39 41:40 41:41 59:49 59:50 59:51 59:52 59:53 59:54 59:55 59:56 59:57 59:58 59:59"
"بلونگڑا","رشیدہ",1,"40","41:39"
"بلونگڑا","سردار",1,"62","59:65"
"بلونگڑا","سفید پوش",3,"56 57 58","59:54 59:56 59:57"
"بلونگڑا","سلامتے",3,"36 37 38","41:31 41:34 41:35"
"بلونگڑا","سکیراں",5,"36 40 46 55 56","41:32 41:40 41:51 59:51 59:53"
"بلونگڑا","شاداں",1,"55","59:52"
"بلونگڑا","شدین",5,"45 54 55 59","41:49 59:49 59:50 59:52 59:60"
"بلونگڑا","ضابطے خاں",1,"41","41:42"
"بلونگڑا","متاب ٹیڑی",1,"41","41:42"
"بلونگڑا","متاب کی بیوی",1,"42","41:43"
"بلونگڑا","ملا اسماعیل",2,"41 60","41:42 59:61"
"بلونگڑا","ملّا گھیچری",2,"46 55","41:51 59:51"
"بلونگڑا","ملک (دارا کی کہانی)",2,"42 61","41:44 59:63"
"بلونگڑا","ملک سمندر خاں",1,"42","41:44"
"بلونگڑا","مندی",5,"36 40 46 55 56","41:32 41:40 41:51 59:51 59:53"
"بلونگڑا","منہا یبل",1,"40","41:40"
"بلونگڑا","ٹو (نر گھوڑا)",1,"58","59:57"
"بلونگڑا","پھلا",5,"41 56 57 58 59","41:41 59:54 59:56 59:58 59:59"
"بلونگڑا","چاچا حنفیا",2,"40 56","41:40 59:53"
"بلونگڑا","چدی",1,"59","59:60"
"بلونگڑا","چوہدری جلال",2,"36 37","41:31 41:33"
"بلونگڑا","کئی رانی (گھوڑی)",1,"63","59:67"
"بلونگڑا","کالا بدل (ریچھ)",2,"40 58","41:39 59:58"
"بلونگڑا","کماں",1,"60","59:61"
"بلونگڑا","گازی",2,"57 58","59:56 59:58"
"بلونگڑا","گاموں مراثی",4,"36 37 38","41:31 41:33 41:34 41:35"
"بلونگڑا","گاگو",6,"41 56 57 58 59","41:41 59:54 59:56 59:57 59:58 59:59"
"بلونگڑا","گلو (مراثی کا منڈا)",2,"37 38","41:34 41:35"
"بلونگڑا","گومی",1,"55","59:52"
"بلونگڑا","گھینا",1,"59","59:60"
"بمبو","بنی",7,"44 52 57 58 91","41:48 56:48 56:49 56:58 58:58 59:58 91:91"
"بمبو","بچھیری (گھوڑی)",10,"41 55 56 57 58 59 91","41:41 56:54 56:55 56:56 58:56 58:57 58:58 59:58 59:59 91:91"
"بمبو","بیبو",3,"59 60 61","56:63 58:63 59:63"
"بمبو","تائی",3,"58 59 60","56:61 58:61 59:61"
"بمبو","جاگیردار",10,"45 52 54 55 56 57 58 59","41:49 56:49 56:52 56:54 56:55 56:57 58:57 58:58 59:58 59:60"
"بمبو","حضرت صاحب",5,"36 56 57 96","41:31 56:56 58:56 58:57 91:101"
"بمبو","حیدری",1,"92","91:93"
"بمبو","دارو",3,"61 62","56:66 58:66 59:66"
"بمبو","دارے لوہار",3,"59 60 61","56:63 58:63 59:63"
"بمبو","دھاموں",4,"36 61 62","41:32 56:66 58:66 59:66"
"بمبو","راوی",38,"36 37 38 39 40 41 51 52 53 54 55 56 57 58 59 86 87 88 89 90 91","41:31 41:32 41:33 41:34 41:35 41:36 41:37 41:38 41:39 41:40 41:41 56:46 56:47 56:48 56:49 56:50 56:51 56:52 56:53 56:54 56:55 56:56 58:56 58:57 58:58 59:58 59:59 91:81 91:82 91:83 91:84 91:85 91:86 91:87 91:88 91:89 91:90 91:91"
"بمبو","رسولاں",1,"93","91:95"
"بمبو","رشیدہ",1,"40","41:39"
"بمبو","رضیہ",1,"93","91:95"
"بمبو","سردار",7,"60 61 62 87 88 89 90","56:65 58:65 59:65 91:84 91:85 91:87 91:90"
"بمبو","سردار گور دیال سنگھ",4,"87 88 89 90","91:84 91:85 91:87 91:90"
"بمبو","سردار گور دیال سنگھ کی کنجری صندلاں",1,"89","91:87"
"بمبو","سفید پوش",4,"55 56 57","56:54 56:56 58:56 58:57"
"بمبو","سلامتے",3,"36 37 38","41:31 41:34 41:35"
"بمبو","سلیمان (کسان)",1,"91","91:92"
