Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"آدمی (دیوا کی کہانی)","امیر خاتون (دیوا کی کہانی)",1,"90","90:90"
"آدمی (دیوا کی کہانی)","اکرام علی خاں",1,"91","90:92"
"آدمی (دیوا کی کہانی)","جوہر",1,"91","90:93"
"آدمی (دیوا کی کہانی)","حالی",1,"33","32:35"
"آدمی (دیوا کی کہانی)","حضرت خلیفة المسیح الخامس",1,"31","32:31"
"آدمی (دیوا کی کہانی)","حضرت مسیح موعود علیہ السلام",1,"31","32:31"
"آدمی (دیوا کی کہانی)","خواجہ نظام",1,"66","64:68"
"آدمی (دیوا کی کہانی)","دکاندار (دیوا کی کہانی)",1,"90","90:90"
"آدمی (دیوا کی کہانی)","دیوان (اکرام علی خاں کی کہانی)",1,"91","90:92"
"آدمی (دیوا کی کہانی)","راوی (میں)",17,"29 30 31 32 61 62 63 64 87 88 89 90","32:27 32:28 32:29 32:30 32:31 32:32 64:59 64:60 64:61 64:62 64:63 64:64 90:85 90:86 90:87 90:89 90:90"
"آدمی (دیوا کی کہانی)","سلطان علاؤ الدین",1,"66","64:68"
"آدمی (دیوا کی کہانی)","سید صاحب",1,"91","90:92"
"آدمی (دیوا کی کہانی)","سید محمد طاہر شاہد",1,"31","32:31"
"آدمی (دیوا کی کہانی)","شاہی طبیب",1,"63","64:63"
"آدمی (دیوا کی کہانی)","شیخ (استاد جوہر)",1,"61","64:59"
"آدمی (دیوا کی کہانی)","شیخ بدیع الدین سرہندی",1,"61","64:59"
"آدمی (دیوا کی کہانی)","قاضی صاحب",1,"91","90:92"
"آدمی (دیوا کی کہانی)","مجدد الزمان",1,"61","64:59"
"آدمی (دیوا کی کہانی)","محسن",1,"32","32:33"
"آدمی (دیوا کی کہانی)","محمد ﷺ",4,"31 65 89 92","32:31 64:66 90:89 90:95"
"آدمی (دیوا کی کہانی)","ملا محمود جا",1,"66","64:68"
"آدمی (دیوا کی کہانی)","مولانا آزاد",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولانا حسرت موہانی",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولانا شبلی نعمانی",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولانا ظفر علی خاں",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولانا عبد الحکیم سیالکوٹی",1,"61","64:59"
"آدمی (دیوا کی کہانی)","مولوی اسمعیل",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولوی ثناء اللہ",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولوی روح اللہ صاحب",1,"63","64:62"
"آدمی (دیوا کی کہانی)","مولوی عزیز مرزا",1,"34","32:37"
"آدمی (دیوا کی کہانی)","نواب (سید صاحب کی کہانی)",1,"91","90:92"
"آدمی (دیوا کی کہانی)","نوکرانی (دیوا کی کہانی)",1,"90","90:90"
"آدمی (دیوا کی کہانی)","والی",3,"33 66 91","32:34 64:68 90:92"
"ابو بکر","ابو طالب",1,"99","99:99"
