Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"احمد شاہ","جاری",13,"8 12 18 19 22 23 24 25 26 78 83","10:6 10:15 21:16 21:17 21:18 21:23 23:23 25:23 25:24 25:26 26:26 81:76 81:86"
"احمد شاہ","رحمت علی",2,"27","25:29 26:29"
"احمد شاہ","رضیہ سلطانہ",15,"11 20 21 22 23 24 27 28 61 63 64 78 79 81","10:12 21:20 21:21 23:21 23:22 23:23 25:23 25:30 26:30 62:61 62:64 64:64 81:76 81:77 81:81"
"احمد شاہ","سائیں",3,"8 20 83","10:7 21:19 81:86"
"احمد شاہ","سلامت علی",11,"12 20 22 23 24 25 60 63 64 83","10:15 21:19 21:23 23:23 25:23 25:25 26:25 62:58 62:64 64:64 81:86"
"احمد شاہ","سلطان میر",1,"11","10:12"
"احمد شاہ","عطیہ جانی",11,"8 9 12 18 19 20 21 22 23 24 83","10:7 10:9 10:15 21:16 21:17 21:20 21:21 23:21 23:23 25:23 81:86"
"احمد شاہ","علی محمد",4,"62 63 64 80","62:63 64:63 64:65 81:79"
"احمد شاہ","فیروز شاہ",10,"10 21 22 23 24 27 28 79","10:10 21:21 23:21 23:22 23:23 25:23 25:30 26:30 81:77 81:78"
"احمد شاہ","مولوی احمد اللہ",2,"62 63","62:62 64:62"
"احمد شاہ","چوہدری برکت علی",11,"8 9 10 21 22 23 24 25 28","10:7 10:8 10:9 10:10 21:22 23:22 23:24 25:24 25:25 26:25 26:30"
"احمد شاہ","کرامت علی",19,"9 10 20 21 22 23 24 25 26 60 61 62 63 64 79 83","10:9 10:10 21:19 21:22 23:22 23:23 25:23 25:24 25:25 26:25 26:26 62:58 62:61 62:62 64:62 64:64 81:77 81:78 81:85"
"جاری","رحمت علی",4,"26 27 29 52","24:29 26:29 29:29 53:51"
"جاری","رضیہ سلطانہ",20,"13 17 18 19 21 22 23 28 29 40 74 75 76 83 84 92","15:12 15:20 16:20 17:20 18:20 23:20 23:21 23:22 23:23 24:23 26:30 29:30 43:38 74:75 75:75 76:75 76:76 86:81 86:83 91:94"
"جاری","سائیں",14,"1 2 4 6 17 18 21 86 87 88 89","2:1 2:2 6:2 6:7 15:19 16:19 17:19 18:19 23:19 86:86 88:86 88:87 88:88 91:88"
"جاری","سلامت علی",28,"2 4 15 17 18 21 23 24 25 42 43 44 50 51 55 72 86 87 88 89 90 101 102","2:2 6:2 15:15 16:15 16:19 17:19 18:19 23:19 23:23 24:23 24:25 26:25 43:41 43:42 43:44 44:44 53:48 53:49 53:50 53:58 74:71 86:86 88:86 88:88 91:88 91:89 102:101 102:103"
"جاری","سلطان میر",1,"13","15:12"
"جاری","عطیہ جانی",21,"3 5 6 15 16 17 19 21 22 23 52 74 75 86 87","2:4 6:4 6:7 15:15 16:15 16:16 17:16 17:17 18:17 18:20 23:20 23:21 23:23 24:23 53:52 74:75 75:75 76:75 86:86 88:86 88:87"
"جاری","علی محمد",7,"43 71 72 76 77","43:43 44:43 74:69 74:70 74:79 75:79 76:79"
"جاری","فیروز شاہ",16,"8 12 13 18 19 22 23 28 29 40 75 76","6:10 15:10 15:12 16:21 17:21 18:21 23:21 23:22 23:23 24:23 26:30 29:30 43:38 74:77 75:77 76:77"
"جاری","نسرین",2,"43 44","43:44 44:44"
