Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"بلقیس","ثروت",4,"85 86 88","88:83 88:84 88:85 88:88"
"بلقیس","جاوید",3,"85 86 89","88:83 88:84 88:90"
"بلقیس","جمال افروز انصاری",2,"83","88:78 88:79"
"بلقیس","ریاض احمد زبیری",2,"83","88:78 88:79"
"بلقیس","محمود",1,"89","88:91"
"بلقیس","نعیم",2,"86 89","88:85 88:90"
"ثروت","جاوید",9,"83 84 87 89 90","83:83 84:83 84:84 85:84 85:90 88:90 89:90 90:90 91:90"
"ثروت","جمال افروز انصاری",11,"64 65 66 71 78 80 81","69:59 69:61 69:62 69:63 69:64 69:73 83:73 83:74 83:77 83:78 83:79"
"ثروت","ریاض احمد زبیری",13,"64 65 66 70 78 79 80 81","69:59 69:60 69:61 69:62 69:63 69:64 69:71 83:73 83:75 83:76 83:77 83:78 83:79"
"ثروت","شوکت محمود",5,"64 66 70 79","69:59 69:60 69:64 69:71 83:76"
"ثروت","محمود",11,"70 87 88 89 90 91 92","69:72 83:91 84:91 85:91 88:91 89:91 90:91 91:91 92:91 92:92 93:92"
"ثروت","نعیم",12,"69 84 85 86 89 90 92 93","69:69 83:85 84:85 85:85 88:85 88:90 89:90 90:90 91:90 91:93 92:93 93:93"
"ثروت","گڈو",5,"64 66 70 78 80","69:60 69:63 69:71 83:73 83:77"
"جاوید","جمال افروز انصاری",5,"78 80 81","83:73 83:74 83:77 83:78 83:79"
"جاوید","ریاض احمد زبیری",6,"78 79 80 81","83:73 83:75 83:76 83:77 83:78 83:79"
"جاوید","شوکت محمود",1,"79","83:76"
"جاوید","محمود",3,"87 90","83:91 84:91 90:91"
"جاوید","نعیم",4,"84 87 90","83:85 84:85 90:85 90:90"
"جاوید","گڈو",2,"78 80","83:73 83:77"
"جمال افروز انصاری","جمیلہ",12,"16 25 26 27 28 29 51 52 53 56","12:21 30:21 30:22 30:24 30:25 30:26 30:27 30:29 48:55 49:55 52:55 57:55"
